word	[etymology]
take	['Old English', 'Latin', 'Proto-Germanic', 'PIE', 'Germanic']
audiences	['Old French', 'Latin', 'PIE']
series	['Latin', 'PIE']
aerial	['Latin']
adventures	['Old French', 'Latin']
lapp	['Lapp']
woman	['Old English', 'Proto-Germanic', 'PIE']
both	['Proto-Germanic']
them	['Old English', 'Proto-Germanic', 'PIE', 'Old Norse']
farm	['Old French', 'Medieval Latin', 'Latin', 'Anglo-French']
touches	['Old French', 'Vulgar Latin']
encroachment	['Old Norse', 'Old French']
christianity	['Old French', 'Church Latin', 'Old English']
brought	['Old English', 'Proto-Germanic']
missionaries	['Modern Latin', 'Latin']
which	['Old English', 'Proto-Germanic']
odds	['Old Norse', 'Proto-Germanic', 'PIE']
tribal	['Old French', 'Latin', 'PIE']
traditional	['Anglo-French', 'Old French', 'Latin']
roots	['Proto-Indo-European', 'Old English', 'Proto-Germanic', 'PIE']
grisly	['Middle English', 'Middle Dutch', 'Old English']
murders	['Old English', 'Proto-Germanic', 'Old French', 'Medieval Latin']
fbi	['U.S. Federal Bureau']
agent	['Latin']
graham	['Sylvester Graham']
retirement	['Middle French']
atrocious	['Middle French', 'Latin', 'PIE']
driven	['Old English', 'Proto-Germanic', 'PIE']
image	['Old French', 'Latin']
painting	['Old French', 'Latin']
soon	['Old English', 'Proto-Germanic', 'Middle English']
team	['Old English', 'Proto-Germanic', 'PIE']
suspect	['Old French', 'Latin', 'Middle French']
main	['Old Norse', 'Proto-Germanic', 'PIE', 'Old English']
actually	['Old French', 'Late Latin']
recover	['Old North French', 'Latin', 'PIE', 'Anglo-French', 'Medieval Latin']
prototype	['Proto-Germanic', 'PIE', 'Latin', 'Greek', 'French', 'Medieval Latin']
testing	['Old French', 'Latin']
machine	['Middle French', 'Latin', 'Greek', 'PIE', 'Old French']
project	['Latin']
spent	['Medieval Latin']
years	['Old English', 'Proto-Germanic', 'PIE']
millions	['Old French', 'Italian', 'Latin']
dollars	['Old English', 'Proto-Germanic', 'PIE', 'Low German', 'German']
developing	['French', 'Old French']
renowned	['Anglo-French', 'Latin']
entomologist	['French']
trip	['Old English', 'Proto-Germanic', 'PIE', 'Old French']
jungle	['Hindi', 'Sanskrit']
butterfly	['French', 'Latin']
leading	['West Germanic', 'Proto-Germanic', 'PIE']
adventure	['Old French', 'Latin']
transform	['Greek', 'PIE', 'Old French', 'Latin']
lives	['Old English', 'Proto-Germanic', 'PIE']
rare	['Old English', 'Proto-Germanic']
melding	['Old North French', 'Vulgar Latin', 'Latin', 'Old French']
subjectivity	['Proto-Indo-European', 'Old French', 'Medieval Latin', 'Late Latin']
biographical	['Medieval Latin', 'Greek']
facts	['Latin']
m	['Greek', 'Semitic']
back	['Old English', 'Proto-Germanic', 'PIE']
body	['Old English']
soul	['Proto-Germanic']
seeking	['Old English', 'Proto-Germanic', 'PIE']
